lat,lng,ADM_NM,주소
127.0346697,37.5837291,제기동,서울특별시 동대문구 약령시로7길 19
127.0627351,37.5784431,전농2동,서울특별시 동대문구 전농로16길 97 숲속도서관 1층
127.0351565,37.5862857,제기동,서울특별시 동대문구 제기로 20 더푸른빌101동202호
127.0675458,37.5736572,장안2동,서울특별시 동대문구 한천로28길 9 202동1호
127.0479538,37.5720508,답십리1동,서울특별시 동대문구 황물로 62
126.979843,37.477036,사당1동,서울특별시 동작구 남부순환로 2081 사당어르신종합복지관 3층
126.9685609,37.4927915,사당3동,서울특별시 동작구 사당로23길 254 별관 지하1층
126.9534854,37.5042419,상도1동,서울특별시 동작구 상도로47아길 44-1 1층
126.960611,37.5051202,흑석동,서울특별시 동작구 서달로 129 까망돌도서관 1층
126.9373169,37.4976163,상도4동,서울특별시 동작구 성대로16길 21 국공립윤슬어린이집 3층
126.9315471,37.4992497,상도3동,서울특별시 동작구 성대로2길 9 신한은행 5층
126.9471696,37.5007546,상도2동,서울특별시 동작구 양녕로 220 상도역롯데캐슬 지하1층
126.9471696,37.5007546,상도2동,서울특별시 동작구 양녕로 220 상도역롯데캐슬아파트 지하1층
126.9471696,37.5007546,상도2동,서울특별시 동작구 양녕로 220 상도역롯데캐슬아파트 지하1층
126.9244085,37.4984422,신대방2동,서울특별시 동작구 여의대방로24길 76 신대방2동주민자치센터 5층
126.9229889,37.5046247,대방동,서울특별시 동작구 여의대방로36길 11 육아종합지원센터 4층
126.966612,37.5058617,흑석동,서울특별시 동작구 흑석한강로 11 흑석동주민센터 2층
126.8991511,37.5540176,망원1동,서울특별시 마포구 동교로1길 53
126.9512971,37.5521269,아현동,서울특별시 마포구 마포대로11길 44-81
126.9313209,37.5496399,서강동,서울특별시 마포구 서강로 75-16
126.90785,37.5634083,성산1동,서울특별시 마포구 성산로4길 15
126.9470956,37.5963684,홍제3동,서울특별시 서대문구 간호대로 25-40 105동 101호
126.9837919,37.4845545,방배2동,서울특별시 서초구 방배천로24길 8 1층
127.0223638,37.4911711,서초1동,서울특별시 서초구 사임당로 115 1층
127.016749,37.5894,삼선동,서울특별시 성북구 보문로168
127.1131849,37.5085247,송파1동,서울특별시 송파구 오금로22길 26 1층
127.1130546,37.5085859,송파1동,서울특별시 송파구 오금로22길 28 1층
127.1354268,37.4767112,위례동,서울특별시 송파구 위례순환로 477 2302동 1층
126.8700317,37.5094241,신정7동,서울특별시 양천구 목동남로 106-23
126.8638672,37.5160296,신정6동,서울특별시 양천구 목동동로 81 3층
126.8654889,37.5389695,목4동,서울특별시 양천구 목동중앙남로 57-10 2층
126.8641133,37.548189,목3동,서울특별시 양천구 목동중앙북로2길 8 3층
126.8542636,37.5185289,신정1동,서울특별시 양천구 중앙로32길 1 4층
126.8356122,37.5190658,신월7동,서울특별시 양천구 지양로 37 1층
126.8271621,37.5386227,신월5동,서울특별시 양천구 화곡로4길 10 6층
126.9036432,37.5254059,영등포동,서울특별시 영등포구 국회대로44길 4 1층
126.8973273,37.5310483,당산2동,서울특별시 영등포구 당산로41가길 7 3층
126.8959469,37.5016965,대림3동,서울특별시 영등포구 도신로4길 20 1층
126.8894733,37.5172715,문래동,서울특별시 영등포구 문래로20길 60 602호
126.894434,37.5285459,당산1동,서울특별시 영등포구 선유동1로 80
126.910724,37.510466,신길4동,서울특별시 영등포구 신길로 204 2층
126.9116553,37.5071523,신길4동,서울특별시 영등포구 신길로40길 5
126.9113752,37.5084428,신길4동,서울특별시 영등포구 신길로42길 1 2층
126.9650211,37.5389063,원효로1동,서울특별시 용산구 백범로 329 용산꿈나무종합타운 본관 2층
126.994663,37.520458,서빙고동,서울특별시 용산구 서빙고로 279 1층 공동육아방
126.9195053,37.59099,응암2동,서울특별시 은평구 응암로16길 20-9 구립 내일어린이집
126.9686866,37.5814545,청운효자동,서울특별시 종로구 자하문로17길 36
127.0148351,37.5612923,동화동,서울특별시 중구 다산로32길 5
127.0144795,37.5620506,신당동,서울특별시 중구 다산로33길 3 2층
126.982373,37.5660509,소공동,서울특별시 중구 을지로 42 지하 202-101호
127.0094104,37.5606571,장충동,서울특별시 중구 장충단로6길 57-6
127.0836043,37.6175655,묵1동,서울특별시 중랑구 공릉로12가길 70-15
127.0794614,37.5831915,면목5동,서울특별시 중랑구 동일로 591
127.094262,37.5971081,망우본동,서울특별시 중랑구 망우로60길 37
127.1014684,37.6005732,망우본동,서울특별시 중랑구 망우로67길 10
127.0819287,37.5761018,면목4동,서울특별시 중랑구 면목로31길 60
127.0853667,37.5982716,상봉1동,서울특별시 중랑구 봉화산로30길 89
127.0921408,37.6021556,상봉1동,서울특별시 중랑구 신내로7가길 71
127.1128052,37.6147425,신내1동,서울특별시 중랑구 신내역로 131
127.1103776,37.6177215,신내1동,서울특별시 중랑구 신내역로1길 142
127.0856809,37.5723878,면목4동,서울특별시 중랑구 용마산로 209
127.0981675,37.5923711,망우3동,서울특별시 중랑구 용마산로 461
127.074879,37.594999,중화2동,서울특별시 중랑구 중랑역로3길 28
127.0735622,37.6072301,묵2동,서울특별시 중랑구 중랑천로 252-1
